"","publisher","id","owners","name","release_date","categories","price","user_rating","expert_rating","game_mode","d_publisher"
"226","Carpe Fulgur LLC",70400,1500000,"Recettear: An Item Shop's Tale",2010,"Single-player",12.99,0.97,0.82,1,0
"227","CCP",8500,4400000,"EVE Online",2010,"Multi-player Online Multi-Player",0,0.75,0.88,0,1
"228","CD PROJEKT RED",292030,10200000,"The Witcher® 3: Wild Hunt",2015,"Single-player",24.99,0.98,0.93,1,1
"229","CD PROJEKT RED",973760,540000,"Thronebreaker: The Witcher Tales",2018,"Single-player",23.39,0.87,0.85,1,1
"230","CD PROJEKT RED;1C-SoftClub",20900,7100000,"The Witcher: Enhanced Edition Director's Cut",2008,"Single-player",6.99,0.86,0.86,1,1
"231","CD PROJEKT RED;1C-SoftClub",20920,8500000,"The Witcher 2: Assassins of Kings Enhanced Edition",2012,"Single-player",14.99,0.89,0.88,1,1
"232","Cellar Door Games",241600,3e+06,"Rogue Legacy",2013,"Single-player",10.99,0.94,0.85,1,0
"233","Cellar Door Games",416600,1500000,"Full Metal Furies",2018,"Single-player   Local",14.99,0.91,0.85,0,0
"234","Choice Provisions",323060,1900000,"Tharsis",2016,"Single-player",10.99,0.69,0.61,1,0
"235","Chucklefish",211820,6300000,"Starbound",2016,"Single-player Multi-player Online Multi-Player    Multiplayer",11.99,0.9,0.81,0,1
"236","Chucklefish",248820,4400000,"Risk of Rain",2013,"Single-player Multi-player",6.99,0.93,0.77,0,1
"237","Chucklefish",607050,1500000,"Wargroove",2019,"Single-player Multi-player Online Multi-Player Local Multi-Player   Local    Multiplayer",15.99,0.8,0.82,0,1
"238","CI Games",217920,1900000,"Alien Rage - Unlimited",2013,"Single-player Multi-player",14.99,0.7,0.52,0,0
"239","CI Games",265300,3e+06,"Lords Of The Fallen™",2014,"Single-player",23.79,0.6,0.73,1,0
"240","CI Games",34870,4e+06,"Sniper: Ghost Warrior 2",2013,"Single-player Multi-player",6.99,0.71,0.52,0,0
"241","CI Games",256190,1200000,"Enemy Front",2014,"Single-player Multi-player",15.99,0.63,0.52,0,0
"242","CI Games",34830,3100000,"Sniper: Ghost Warrior",2010,"Single-player Multi-player",5.99,0.55,0.55,0,0
"243","Codemasters",287260,1600000,"Toybox Turbos",2014,"Single-player Multi-player",11.99,0.85,0.69,0,1
"244","Codemasters",208500,1100000,"F1 2012™",2012,"Single-player Multi-player",14.99,0.89,0.8,0,1
"245","Codemasters",737800,3600000,"F1 2018",2018,"Single-player Multi-player",44.99,0.8,0.83,0,1
"246","Codemasters",690790,2500000,"DiRT Rally 2.0",2019,"Single-player Multi-player Online Multi-Player",44.99,0.6,0.84,0,1
"247","Codemasters",11450,4500000,"Overlord™",2009,"Single-player",3.49,0.93,0.81,1,1
"248","Codemasters",12810,3400000,"Overlord II",2009,"Single-player",6.99,0.87,0.79,1,1
"249","Codemasters",12830,2900000,"Operation Flashpoint: Dragon Rising",2009,"Single-player",6.99,0.64,0.76,1,1
"250","Codemasters",226580,620000,"F1 2014",2014,"Single-player Multi-player",19.99,0.78,0.61,0,1
"251","Codemasters;Feral Interactive (Linux)",286570,6200000,"F1 2015",2015,"Single-player Multi-player  Multiplayer",29.99,0.58,0.61,0,1
"252","Codemasters;Feral Interactive (Linux);Feral Interactive (Mac)",310560,8700000,"DiRT Rally",2015,"Single-player Multi-player",24.99,0.88,0.86,0,1
"253","Codemasters;Feral Interactive (Mac)",44350,8900000,"GRID 2",2013,"Single-player Multi-player",19.98,0.8,0.8,0,1
"254","Codemasters;Feral Interactive (Mac)",391040,650000,"F1 2016",2016,"Single-player Multi-player",39.99,0.84,0.86,0,1
"255","Codemasters;Feral Interactive (Mac);Feral Interactive (Linux)",421020,1600000,"DiRT 4",2017,"Single-player Multi-player Online Multi-Player",44.99,0.66,0.78,0,1
"256","Codemasters;Feral Interactive (Mac);Feral Interactive (Linux)",255220,1900000,"GRID Autosport",2014,"Single-player Multi-player   Multiplayer",24.99,0.76,0.78,0,1
"257","Codemasters;Feral Interactive (Mac);Feral Interactive (Linux)",515220,570000,"F1™ 2017",2017,"Single-player Multi-player",44.99,0.83,0.89,0,1
"258","Coffee Stain Publishing",278360,8300000,"A Story About My Uncle",2014,"Single-player",9.99,0.92,0.73,1,0
"259","Coffee Stain Publishing",210770,7800000,"Sanctum 2",2013,"Single-player Multi-player",11.39,0.9,0.77,0,0
"260","Coffee Stain Publishing",548430,3e+06,"Deep Rock Galactic",2018,"Single-player Multi-player Online Multi-Player",24.99,0.92,0.85,0,0
"261","Coffee Stain Publishing",265930,6300000,"Goat Simulator",2014,"Single-player",7.19,0.89,0.62,1,0
"262","Coffee Stain Publishing",91600,3800000,"Sanctum",2011,"Single-player Multi-player   Multiplayer",7.19,0.9,0.7,0,0
"263","Cold Beam Games",49600,2700000,"Beat Hazard",2010,"Single-player Multi-player    Multiplayer",6.99,0.95,0.7,0,0
"264","Colibri Games",96000,3800000,"The Tiny Bang Story",2011,"Single-player",3.99,0.87,0.63,1,1
"265","ConcernedApe",413150,8400000,"Stardew Valley",2016,"Single-player Multi-player",10.99,0.97,0.89,0,0
"266","Contingent99",445980,2500000,"Wizard of Legend",2018,"Single-player Local",12.39,0.88,0.79,0,0
"267","Cornered Rat Software",251950,1500000,"WWII Online",2017,"Single-player Online Multi-Player",0,0.41,0.73,0,0
"268","Cornfox & Bros.",339200,1300000,"Oceanhorn: Monster of Uncharted Seas",2015,"Single-player",10.99,0.8,0.74,1,0
"269","Crackshell",239070,2800000,"Hammerwatch",2013,"Single-player Multi-player    Multiplayer",6.99,0.9,0.72,0,0
"270","Crate Entertainment",219990,3100000,"Grim Dawn",2016,"Single-player Multi-player",19.99,0.91,0.83,0,0
"271","Crazy Monkey Studios",525510,430000,"Guns, Gore and Cannoli 2",2018,"Single-player Online Multi-Player Local Multi-Player   Local    Multiplayer",10.29,0.94,0.8,0,0
"272","Creability",298260,2300000,"Only If",2014,"Single-player",0,0.64,0.39,1,0
"273","Creepy Jar",815370,1300000,"Green Hell",2018,"Single-player",15.49,0.84,0.78,1,1
"274","Crema",595140,1900000,"Immortal Redneck",2017,"Single-player",14.95,0.91,0.7,1,0
"275","Crowbar Collective",362890,3700000,"Black Mesa",2015,"Single-player Multi-player Online Multi-Player  Multiplayer",14.99,0.93,0.84,0,0
"276","Crytek",594650,2500000,"Hunt Showdown",2018,"Online Multi-Player",25.99,0.75,0.81,0,1
"277","Crytek",302510,3700000,"Ryse: Son of Rome",2014,"Single-player Multi-player",11.99,0.84,0.61,0,1
"278","Curve Digital",477160,6400000,"Human: Fall Flat",2016,"Single-player Online Multi-Player Local",11.99,0.91,0.7,0,0
"279","Curve Digital",537800,2300000,"Bomber Crew",2017,"Single-player",14.99,0.89,0.75,1,0
"280","Curve Digital",527230,1700000,"For The King",2018,"Single-player Multi-player Online Multi-Player Local Multi-Player   Local",15.49,0.84,0.79,0,0
"281","D-Pad Studio",115800,2300000,"Owlboy",2016,"Single-player",18.99,0.86,0.88,1,0
"282","D3 PUBLISHER",410320,1900000,"EARTH DEFENSE FORCE 4.1 The Shadow of New Despair",2016,"Single-player Multi-player",15.49,0.94,0.79,0,0
"283","Daedalic Entertainment",230820,2e+06,"The Night of the Rabbit",2013,"Single-player",16.99,0.9,0.75,1,0
"284","Daedalic Entertainment",241910,2e+06,"Goodbye Deponia",2013,"Single-player",16.99,0.89,0.8,1,0
"285","Daedalic Entertainment",418240,2700000,"Shadow Tactics: Blades of the Shogun",2016,"Single-player",34.99,0.96,0.85,1,0
"286","Daedalic Entertainment",105000,2200000,"A New Beginning - Final Cut",2012,"Single-player",7.99,0.76,0.72,1,0
"287","Daedalic Entertainment",243200,2300000,"Memoria",2013,"Single-player",26.99,0.91,0.79,1,0
"288","Daedalic Entertainment",219910,2300000,"Edna & Harvey: Harvey's New Eyes",2012,"Single-player",15.99,0.91,0.75,1,0
"289","Daedalic Entertainment",249650,2700000,"Blackguards",2014,"Single-player",26.99,0.61,0.68,1,0
"290","Daedalic Entertainment",265330,1200000,"Gomo",2013,"Single-player",3.99,0.75,0.5,1,0
"291","Daedalic Entertainment",351920,2100000,"Crazy Machines 3",2016,"Single-player",7.99,0.96,0.71,1,0
"292","Daedalic Entertainment",234270,2100000,"Ken Follett's The Pillars of the Earth",2017,"Single-player",26.99,0.93,0.78,1,0
"293","Daedalic Entertainment",366910,640000,"The Long Journey Home",2017,"Single-player",26.99,0.65,0.68,1,0
"294","Daedalic Entertainment",203830,1800000,"The Dark Eye: Chains of Satinav",2012,"Single-player",26.99,0.87,0.75,1,0
"295","Daedalic Entertainment",214340,3900000,"Deponia",2012,"Single-player",6.99,0.9,0.74,1,0
"296","Daedalic Entertainment",255300,1600000,"Journey of a Roach",2013,"Single-player",5.99,0.88,0.65,1,0
"297","Daedalic Entertainment",421050,1800000,"Deponia Doomsday",2016,"Single-player",14.99,0.87,0.76,1,0
"298","Daedalic Entertainment",314790,1800000,"Silence",2016,"Single-player",16.99,0.86,0.75,1,0
"299","Daedalic Entertainment",382140,1100000,"SKYHILL",2015,"Single-player",11.99,0.73,0.63,1,0
"300","Daedalic Entertainment",220740,2100000,"Chaos on Deponia",2012,"Single-player",15.99,0.92,0.78,1,0
"301","Daedalic Entertainment;Daylight Studios",363600,1600000,"Holy Potatoes! A Weapon Shop?!",2015,"Single-player",10.99,0.74,0.69,1,0
"302","Daniel Mullins Games",405640,2500000,"Pony Island",2016,"Single-player",3.99,0.96,0.86,1,0
"303","Dark Energy Digital Ltd.",92000,2e+06,"Hydrophobia: Prophecy",2011,"Single-player",3.99,0.61,0.64,1,0
"304","Data Realms, LLC",209670,4800000,"Cortex Command",2012,"Single-player",14.99,0.68,0.44,1,0
"305","David OReilly;Double Fine Presents",582270,1100000,"Everything",2017,"Single-player",10.99,0.84,0.78,1,0
"306","Daybreak Game Company",24200,860000,"DC Universe™ Online",2011,"Multi-player",0,0.79,0.72,0,0
"307","Daybreak Game Company",218230,9200000,"PlanetSide 2",2012,"Multi-player",0,0.82,0.84,0,0
"308","Daybreak Game Company",24240,8500000,"PAYDAY™ The Heist",2011,"Single-player",10.99,0.93,0.76,1,0
"309","Daybreak Game Company",433850,12700000,"Z1 Battle Royale",2018,"Multi-player Online Multi-Player",0,0.55,0.7,0,0
"310","Daybreak Game Company",201230,1200000,"EverQuest II",2011,"Multi-player",0,0.73,0.83,0,0
"311","Dear Villagers",523210,590000,"A Normal Lost Phone",2017,"Single-player",1.99,0.87,0.71,1,0
"312","Deca Games",200210,5300000,"Realm of the Mad God",2012,"Multi-player    Multiplayer",0,0.83,0.82,0,0
"313","Deep Silver",223100,1900000,"Homefront®: The Revolution",2016,"Single-player",24.99,0.56,0.54,1,1
"314","Deep Silver",40390,3600000,"Risen 2: Dark Waters",2012,"Single-player",7.99,0.77,0.69,1,1
"315","Deep Silver",40300,3300000,"Risen",2009,"Single-player",7.99,0.87,0.77,1,1
"316","Deep Silver",247950,1500000,"Sacred 3",2014,"Single-player Multi-player",10.99,0.25,0.57,0,1
"317","Deep Silver",301910,2600000,"Saints Row: Gat out of Hell",2015,"Single-player",10.99,0.74,0.66,1,1
"318","Deep Silver",55100,7500000,"Homefront",2011,"Single-player Multi-player",14.99,0.6,0.7,0,1
"319","Deep Silver",40380,930000,"nail'd",2010,"Single-player",3.99,0.8,0.69,1,1
"320","Deep Silver",287390,5700000,"Metro: Last Light Redux",2014,"Single-player",14.99,0.8,0.76,1,1
"321","Deep Silver",304530,930000,"Agents of Mayhem",2017,"Single-player",26.99,0.59,0.68,1,1
"322","Deep Silver",9480,8400000,"Saints Row 2",2009,"Single-player",9.99,0.77,0.72,1,1
"323","Deep Silver",206420,8100000,"Saints Row IV",2013,"Single-player",10.99,0.92,0.86,1,1
"324","Deep Silver",640820,1900000,"Pathfinder: Kingmaker",2018,"Single-player",34.99,0.71,0.73,1,1
"325","Deep Silver",55230,9100000,"Saints Row: The Third",2011,"Single-player",6.99,0.96,0.84,1,1
"326","Deep Silver",249230,2e+06,"Risen 3 - Titan Lords",2014,"Single-player",10.99,0.71,0.65,1,1
"327","Deep Silver",794260,1600000,"Outward",2019,"Single-player  Local",34.99,0.73,0.67,0,1
"328","Deep Silver",314710,950000,"Mighty No. 9",2016,"Single-player Multi-player Online Multi-Player",15.99,0.5,0.52,0,1
"329","Defiant Development",456670,730000,"Hand of Fate 2",2017,"Single-player",23.79,0.87,0.8,1,0
"330","Defiant Development",266510,2700000,"Hand of Fate",2015,"Single-player",14.99,0.91,0.78,1,0
"331","Degica",285440,950000,"Crimzon Clover WORLD IGNITION",2014,"Single-player",6.99,0.95,0.85,1,0
"332","Degica",420530,810000,"OneShot",2016,"Single-player",6.99,0.98,0.8,1,0
"333","Degica",329490,1100000,"Phantom Breaker: Battle Grounds",2015,"Single-player Online Multi-Player Local Multi-Player  Local",8.99,0.84,0.64,0,0
"334","Demruth",219890,3100000,"Antichamber",2013,"Single-player",14.99,0.95,0.82,1,0
"335","Destructive Creations",341940,1500000,"Hatred",2015,"Single-player",4.79,0.78,0.43,1,0
"336","Devolver Digital",274350,1200000,"Dropsy",2015,"Single-player",6.99,0.94,0.8,1,0
"337","Devolver Digital",41000,3700000,"Serious Sam HD: The First Encounter",2009,"Single-player Multi-player",10.99,0.94,0.68,0,0
"338","Devolver Digital",274310,2100000,"Always Sometimes Monsters",2014,"Single-player",6.99,0.75,0.73,1,0
"339","Devolver Digital",619780,1300000,"The Swords of Ditto",2018,"Single-player Local Multi-Player  Local",11.39,0.52,0.74,0,0
"340","Devolver Digital",233150,1600000,"LUFTRAUSERS",2014,"Single-player",6.99,0.91,0.8,1,0
"341","Devolver Digital",41070,5500000,"Serious Sam 3: BFE",2011,"Single-player Multi-player Online Multi-Player Local Multi-Player   Local    Multiplayer",29.99,0.89,0.72,0,0
"342","Devolver Digital",589780,440000,"The Red Strings Club",2018,"Single-player",11.39,0.92,0.8,1,0
"343","Devolver Digital",274270,1100000,"NOT A HERO",2015,"Single-player",9.99,0.87,0.75,1,0
"344","Devolver Digital",469820,1600000,"Genital Jousting",2018,"Single-player Online Multi-Player Local Multi-Player",5.19,0.91,0.68,0,0
"345","Devolver Digital",204340,3200000,"Serious Sam 2",2012,"Single-player Multi-player Online Multi-Player Local Multi-Player   Local",6.99,0.88,0.74,0,0
"346","Devolver Digital",297120,1e+06,"Heavy Bullets",2014,"Single-player",6.99,0.84,0.72,1,0
"347","Devolver Digital",233130,8700000,"Shadow Warrior",2013,"Single-player",29.99,0.93,0.73,1,0
"348","Devolver Digital",274290,1900000,"Gods Will Be Watching",2014,"Single-player",6.99,0.71,0.64,1,0
"349","Devolver Digital",558420,1400000,"Stories Untold",2017,"Single-player",6.99,0.88,0.81,1,0
"350","Devolver Digital",474750,1600000,"Reigns",2016,"Single-player",1.99,0.9,0.77,1,0
"351","Devolver Digital",274230,1100000,"RONIN",2015,"Single-player",9.99,0.69,0.7,1,0
"352","Devolver Digital",464060,2300000,"RUINER",2017,"Single-player",14.99,0.91,0.75,1,0
"353","Devolver Digital",578620,1e+06,"GORN",2017,"Single-player",14.99,0.96,0.85,1,0
"354","Devolver Digital",311690,3200000,"Enter the Gungeon",2016,"Single-player",10.99,0.94,0.84,1,0
"355","Devolver Digital",274190,3700000,"Broforce",2015,"Single-player Multi-player",11.99,0.97,0.83,0,0
"356","Devolver Digital",361300,1400000,"Mother Russia Bleeds",2016,"Single-player Local Multi-Player Local",10.99,0.86,0.7,0,0
"357","Devolver Digital",360740,1400000,"Downwell",2015,"Single-player",1.99,0.97,0.81,1,0
"358","Devolver Digital",219150,6900000,"Hotline Miami",2012,"Single-player",6.99,0.97,0.85,1,0
"359","Devolver Digital",297130,3900000,"Titan Souls",2015,"Single-player",10.99,0.78,0.74,1,0
"360","Devolver Digital",310080,1300000,"Hatoful Boyfriend",2014,"Single-player",6.99,0.94,0.68,1,0
"361","Devolver Digital",460950,1300000,"Katana ZERO",2019,"Single-player",11.39,0.98,0.83,1,0
"362","Devolver Digital",324800,2e+06,"Shadow Warrior 2",2016,"Single-player",34.99,0.88,0.78,1,0
"363","Devolver Digital",473690,2100000,"Absolver",2017,"Single-player Online Multi-Player",24.99,0.66,0.75,0,0
"364","Devolver Digital;Croteam",257510,3e+06,"The Talos Principle",2014,"Single-player",29.99,0.96,0.85,1,0
"365","Digerati Distribution",369070,1100000,"Slain: Back from Hell",2016,"Single-player",9.99,0.71,0.74,1,0
"366","Digital Confectioners",274940,2600000,"Depth",2014,"Single-player Multi-player Online Multi-Player",14.99,0.87,0.65,0,0
"367","Digital Extremes",230410,16500000,"Warframe",2013,"Single-player Multi-player",0,0.92,0.69,0,1
"368","Digital Happiness",269790,2e+06,"DreadOut",2014,"Single-player",10.99,0.76,0.55,1,0
"369","Dingaling Productions, LLC",335670,1500000,"LISA",2014,"Single-player",6.99,0.96,0.77,1,0
"370","Dinosaur Polo Club",287980,2400000,"Mini Metro",2015,"Single-player",6.99,0.96,0.77,1,0
"371","DolphinBarn",535230,1500000,"Domina",2017,"Single-player",6.99,0.87,0.73,1,0
"372","Double Fine Productions",316790,3e+06,"Grim Fandango Remastered",2015,"Single-player",10.99,0.9,0.84,1,0
"373","Double Fine Productions",232790,2800000,"Broken Age",2014,"Single-player",11.39,0.83,0.73,1,0
"374","Double Fine Productions",228360,1100000,"Full Throttle Remastered",2017,"Single-player",10.99,0.93,0.77,1,0
"375","Double Fine Productions",246110,1400000,"MASSIVE CHALICE",2015,"Single-player",14.99,0.71,0.73,1,0
"376","Double Fine Productions",225260,7400000,"Brutal Legend",2013,"Single-player Multi-player",10.99,0.93,0.8,0,0
"377","Double Fine Productions",115110,2200000,"Stacking",2012,"Single-player",6.99,0.89,0.8,1,0
"378","Double Fine Productions",3830,7400000,"Psychonauts",2006,"Single-player",6.99,0.95,0.87,1,0
"379","Double Fine Productions",246090,1e+06,"Spacebase DF-9",2014,"Single-player",6.99,0.19,0.49,1,0
"380","Double Fine Productions",388210,2200000,"Day of the Tentacle Remastered",2016,"Single-player",10.99,0.97,0.86,1,0
"381","Double Fine Productions",221810,1e+06,"The Cave",2013,"Single-player",9.99,0.86,0.68,1,0
"382","DoubleBear Productions",239840,610000,"Dead State: Reanimated",2014,"Single-player",14.99,0.73,0.7,1,0
"383","Dream Reactor",429680,990000,"Spellweaver",2016,"Single-player Multi-player",0,0.74,0.63,0,0
"384","DrinkBox Studios",214770,3300000,"Guacamelee! Gold Edition",2013,"Single-player",9.99,0.94,0.88,1,0
"385","DrinkBox Studios",275390,5600000,"Guacamelee! Super Turbo Championship Edition",2014,"Single-player",11.49,0.93,0.8,1,0
"386","Drool",356400,570000,"Thumper",2016,"Single-player",15.99,0.92,0.86,1,0
"387","Dry Cactus",367450,3300000,"Poly Bridge",2016,"Single-player",7.19,0.89,0.73,1,0
"388","Dylan Fitterer",235800,1100000,"Audiosurf 2",2015,"Single-player",10.99,0.81,0.76,1,0
"389","EarthWork Games",410900,1800000,"Forts",2017,"Single-player Online Multi-Player",10.99,0.79,0.74,0,0
"390","Eden Industries",204180,3200000,"Waveform",2012,"Single-player",0.79,0.84,0.81,1,0
"391","Edmund McMillen",113200,7200000,"The Binding of Isaac",2011,"Single-player",3.99,0.96,0.84,1,0
"392","Edmund McMillen;Tyler Glaiel",583470,570000,"The End Is Nigh",2017,"Single-player",10.99,0.93,0.84,1,0
"393","Egosoft",2820,1400000,"X3: Terran Conflict",2008,"Single-player",15.99,0.86,0.73,1,0
"394","Egosoft",2870,4e+05,"X Rebirth",2013,"Single-player",24.99,0.41,0.33,1,0
"395","EightyEightGames",227580,1e+06,"10,000,000",2013,"Single-player",3.99,0.89,0.67,1,0
"396","Electronic Arts",17390,3200000,"SPORE™",2008,"Single-player",14.99,0.88,0.84,1,1
"397","Electronic Arts",24740,5e+06,"Burnout Paradise: The Ultimate Box",2009,"Single-player Multi-player",9.99,0.87,0.87,0,1
"398","Electronic Arts",17480,1400000,"Command & Conquer: Red Alert 3",2009,"Single-player",9.99,0.84,0.82,1,1
"399","Electronic Arts",47890,2100000,"The Sims™ 3",2011,"Single-player",24.99,0.82,0.86,1,1
"400","Electronic Arts",24960,4100000,"Battlefield: Bad Company™ 2",2010,"Single-player Multi-player",14.99,0.86,0.87,0,1
"401","Electronic Arts",47790,4100000,"Medal of Honor™",2010,"Single-player Multi-player",14.99,0.7,0.72,0,1
"402","Electronic Arts",24720,1600000,"SPORE™ Galactic Adventures",2009,"Single-player",9.99,0.81,0.7,1,1
"403","Electronic Arts",24840,1100000,"Medal of Honor: Airborne",2009,"Single-player Multi-player",9.99,0.79,0.78,0,1
"404","Electronic Arts",17430,1200000,"Need for Speed Undercover",2008,"Single-player Multi-player",9.99,0.69,0.65,0,1
"405","Electronic Arts",47870,2600000,"Need For Speed: Hot Pursuit",2010,"Single-player Multi-player",14.99,0.8,0.86,0,1
"406","Electronic Arts",47780,4e+06,"Dead Space™ 2",2011,"Single-player Multi-player",14.99,0.95,0.87,0,1
"407","Electronic Arts",17410,7100000,"Mirror's Edge™",2009,"Single-player",9.99,0.88,0.81,1,1
"408","Electronic Arts",24800,3300000,"Command & Conquer: Red Alert 3 - Uprising",2009,"Single-player",9.99,0.8,0.64,1,1
"409","Electronic Arts",24790,1e+06,"Command & Conquer 3: Tiberium Wars",2009,"Single-player",9.99,0.89,0.85,1,1
"410","Electronic Arts",17450,2200000,"Dragon Age: Origins",2009,"Single-player",14.99,0.93,0.91,1,1
"411","Electronic Arts",17330,2200000,"Crysis Warhead®",2008,"Single-player",7.99,0.84,0.84,1,1
"412","Electronic Arts",24870,830000,"Need for Speed: Shift",2009,"Single-player Multi-player",9.99,0.73,0.83,0,1
"413","Electronic Arts",47810,2100000,"Dragon Age: Origins - Ultimate Edition",2010,"Single-player",19.99,0.92,0.91,1,1
"414","Electronic Arts",47700,610000,"Command & Conquer 4: Tiberian Twilight",2010,"Single-player Multi-player",9.99,0.18,0.64,0,1
"415","Electronic Arts",24980,3800000,"Mass Effect 2",2010,"Single-player",19.99,0.95,0.94,1,1
"416","Electronic Arts",17460,3200000,"Mass Effect",2008,"Single-player",7.99,0.94,0.89,1,1
"417","Electronic Arts",17300,2700000,"Crysis",2008,"Single-player",9.99,0.83,0.91,1,1
"418","Electronic Arts",17470,5400000,"Dead Space",2009,"Single-player",14.99,0.9,0.86,1,1
"419","Empty Clip Studios",207750,1300000,"Symphony",2012,"Single-player",6.19,0.85,0.75,1,0
"420","Endlessfluff Games",252030,920000,"Valdis Story: Abyssal City",2013,"Single-player",10.99,0.85,0.83,1,0
"421","Endnight Games Ltd",242760,8900000,"The Forest",2018,"Single-player Multi-player",15.49,0.93,0.83,0,0
"422","Epic Games, Inc.",13230,1600000,"Unreal Tournament 2004: Editor's Choice Edition",2004,"Single-player Multi-player",8.99,0.97,0.93,0,1
"423","Epic Games, Inc.",13210,2e+06,"Unreal Tournament 3 Black",2009,"Single-player Multi-player",13.99,0.9,0.83,0,1
"424","Epic Games, Inc.",13240,1500000,"Unreal Tournament: Game of the Year Edition",2008,"Single-player Multi-player",5.99,0.97,0.92,0,1
"425","Eugen Systems",222750,990000,"Wargame: Airland Battle",2013,"Single-player Multi-player  Multiplayer",14.99,0.89,0.8,0,0
"426","Eugen Systems",58610,1800000,"Wargame: European Escalation",2012,"Single-player Multi-player",7.99,0.77,0.81,0,0
"427","EuroVideo Medien",345180,2700000,"Victor Vran ARPG",2015,"Single-player Multi-player  Local   Multiplayer",15.99,0.88,0.75,0,0
"428","Excalibur Games",446020,2200000,"Jalopy - The Road Trip Driving Indie Car Game (公路旅行驾驶游戏)",2018,"Single-player",10.99,0.76,0.65,1,0
"429","Facepalm Games",231160,3100000,"The Swapper",2013,"Single-player",11.99,0.96,0.87,1,0
"430","Facepunch Studios",252490,12900000,"Rust",2018,"Multi-player Online Multi-Player     Multiplayer",27.79,0.8,0.69,0,0
"431","Failbetter Games",304650,1900000,"SUNLESS SEA",2015,"Single-player",13.99,0.83,0.81,1,0
"432","Fatshark",42120,3e+06,"Lead and Gold: Gangs of the Wild West",2010,"Multi-player",7.99,0.73,0.7,0,0
"433","Fatshark",235540,4500000,"Warhammer: End Times - Vermintide",2015,"Single-player",22.99,0.8,0.79,1,0
"434","Fatshark",552500,5400000,"Warhammer: Vermintide 2",2018,"Single-player",23.79,0.75,0.82,1,0
"435","Fellow Traveller",272890,2900000,"Vertiginous Golf",2015,"Single-player Multi-player",7.19,0.59,0.63,0,0
"436","Fellow Traveller",365450,7300000,"Hacknet",2015,"Single-player",7.19,0.93,0.82,1,0
"437","Fellow Traveller",491950,6300000,"Orwell: Keeping an Eye On You",2016,"Single-player",7.19,0.92,0.77,1,0
"438","Fellow Traveller;Samurai Punk",301970,2300000,"Screencheat",2014,"Single-player Multi-player   Multiplayer",11.39,0.92,0.71,0,0
"439","Final Form Games",94200,2200000,"Jamestown",2011,"Single-player",6.99,0.95,0.81,1,0
"440","FireFly Studios",47410,1900000,"Stronghold Kingdoms",2012,"Online Multi-Player    Multiplayer",0,0.65,0.75,0,0
"441","FireFly Studios",40970,2300000,"Stronghold Crusader HD",2013,"Single-player Multi-player",7.49,0.96,0.78,0,0
"442","FireFly Studios",40950,1700000,"Stronghold HD",2013,"Single-player Multi-player",3.49,0.94,0.81,0,0
"443","Fireproof Games",288160,1700000,"The Room",2014,"Single-player",3.99,0.97,0.73,1,0
"444","Fishing Cactus;Plug In Digital",398850,2200000,"Epistory - Typing Chronicles",2016,"Single-player",10.99,0.96,0.74,1,0
"445","Flazm",353640,1600000,"Train Valley",2015,"Single-player",6.99,0.89,0.69,1,0
"446","Flippfly LLC",253030,3800000,"Race The Sun",2013,"Single-player",6.99,0.94,0.79,1,0
"447","Focus Home Interactive",232750,1500000,"Mars: War Logs",2013,"Single-player",11.99,0.73,0.59,1,1
"448","Focus Home Interactive",447020,9e+05,"Farming Simulator 17",2016,"Single-player Multi-player   Multiplayer",15.99,0.92,0.69,0,1
"449","Focus Home Interactive",216910,1500000,"Of Orcs And Men",2012,"Single-player",10.99,0.72,0.69,1,1
"450","Focus Home Interactive",363680,560000,"Battlefleet Gothic: Armada",2016,"Single-player Multi-player",24.99,0.68,0.77,0,1
"451","Focus Home Interactive",366320,1600000,"Seasons after Fall",2016,"Single-player",11.99,0.82,0.75,1,1
"452","Focus Home Interactive",242640,2800000,"Styx: Master of Shadows",2014,"Single-player",24.99,0.82,0.71,1,1
"453","Focus Home Interactive",208730,2e+06,"Game of Thrones",2012,"Single-player",10.99,0.71,0.58,1,1
"454","Focus Home Interactive",427290,2e+06,"Vampyr",2018,"Single-player",44.99,0.73,0.72,1,1
"455","Focus Home Interactive",355790,2400000,"Styx: Shards of Darkness",2017,"Single-player",34.99,0.8,0.72,1,1
"456","Focus Home Interactive",338390,920000,"The Technomancer",2016,"Single-player",23.99,0.69,0.56,1,1
"457","Focus Home Interactive",318020,390000,"Act of Aggression - Reboot Edition",2015,"Single-player Multi-player",23.99,0.61,0.71,0,1
"458","Focus Home Interactive",573100,390000,"Battlefleet Gothic: Armada 2",2019,"Single-player Multi-player Online Multi-Player",34.99,0.73,0.77,0,1
"459","Focus Home Interactive",378540,2500000,"The Surge",2017,"Single-player",24.99,0.74,0.72,1,1
"460","Focus Home Interactive",224460,1300000,"Contrast",2013,"Single-player",8.49,0.91,0.62,1,1
"461","Focus Home Interactive",251060,2100000,"Wargame: Red Dragon",2014,"Single-player Multi-player",24.99,0.87,0.78,0,1
"462","Focus Home Interactive",243930,1200000,"Bound By Flame",2014,"Single-player",14.99,0.66,0.56,1,1
"463","Focus Home Interactive",236690,780000,"Blood Bowl 2",2015,"Single-player Multi-player",14.99,0.72,0.76,0,1
