"","publisher","id","owners","name","release_date","categories","price","user_rating","expert_rating","game_mode","d_publisher"
"52","505 Games",570460,1600000,"Laser League",2018,"Single-player Multi-player Online Multi-Player Local Multi-Player   Local",10.99,0.84,0.78,0,0
"53","505 Games",221540,6e+05,"DG2: Defense Grid 2",2014,"Single-player Multi-player",10.99,0.82,0.81,0,0
"54","505 Games",384190,2500000,"ABZU",2016,"Single-player",14.99,0.93,0.83,1,0
"55","505 Games",635320,2e+06,"Last Day of June",2017,"Single-player",14.99,0.87,0.75,1,0
"56","505 Games",374030,820000,"Virginia",2016,"Single-player",6.99,0.66,0.74,1,0
"57","505 Games",374040,2500000,"Portal Knights",2017,"Single-player Multi-player",14.99,0.81,0.72,0,0
"58","800 North and Digital Ranch",70000,5800000,"Dino D-Day",2011,"Multi-player",6.99,0.84,0.53,0,0
"59","Abbey Games",222730,2900000,"Reus",2013,"Single-player",6.99,0.8,0.75,1,0
"60","ACE Team",22200,2700000,"Zeno Clash",2009,"Single-player",6.99,0.85,0.77,1,0
"61","Acid Wizard Studio",274520,1800000,"Darkwood",2017,"Single-player",11.99,0.94,0.8,1,0
"62","Activision",292730,1300000,"Call of Duty®: Infinite Warfare",2016,"Single-player Online Multi-Player",39.99,0.43,0.73,0,1
"63","Activision",10150,1700000,"Prototype™",2009,"Single-player",14.99,0.8,0.79,1,1
"64","Activision",42700,3400000,"Call of Duty®: Black Ops",2010,"Single-player Multi-player",29.99,0.89,0.81,0,1
"65","Activision",209650,1700000,"Call of Duty®: Advanced Warfare - Gold Edition",2014,"Single-player Multi-player",39.99,0.62,0.78,0,1
"66","Activision",209160,2100000,"Call of Duty®: Ghosts",2014,"Single-player Multi-player",39.99,0.58,0.68,0,1
"67","Activision",42670,820000,"Singularity™",2010,"Single-player Multi-player",14.99,0.92,0.76,0,1
"68","Activision",202970,4800000,"Call of Duty®: Black Ops II",2012,"Single-player Multi-player",39.99,0.85,0.74,0,1
"69","Activision",10090,3600000,"Call of Duty: World at War",2008,"Single-player Multi-player",19.99,0.93,0.83,0,1
"70","Activision",2620,680000,"Call of Duty®",2006,"Single-player Multi-player",14.99,0.93,0.91,0,1
"71","Activision",115320,2100000,"Prototype 2",2012,"Single-player",19.99,0.71,0.76,1,1
"72","Activision",2600,1600000,"Vampire: The Masquerade - Bloodlines",2007,"Single-player",14.99,0.94,0.8,1,1
"73","Activision;Aspyr (Mac)",311210,4300000,"Call of Duty®: Black Ops III",2015,"Single-player Multi-player",44.99,0.61,0.73,0,1
"74","Activision;Aspyr (Mac)",10180,4600000,"Call of Duty®: Modern Warfare® 2",2009,"Single-player Multi-player",19.99,0.91,0.86,0,1
"75","Activision;Aspyr (Mac)",7940,2300000,"Call of Duty® 4: Modern Warfare®",2007,"Single-player Multi-player",19.99,0.91,0.92,0,1
"76","Activision;Aspyr (Mac)",2630,950000,"Call of Duty® 2",2006,"Single-player Multi-player",14.99,0.91,0.86,0,1
"77","Adriaan de Jongh",435400,2100000,"Hidden Folks",2017,"Single-player",5.99,0.97,0.78,1,0
"78","Adult Swim Games",312520,1100000,"Rain World",2017,"Single-player Local Multi-Player",14.99,0.85,0.66,0,1
