id,name,owners,numbers
19980,Prince of Persia®,,990000
20510,S.T.A.L.K.E.R.: Clear Sky,,3600000
20530,Red Faction,,1700000
20540,Company of Heroes: Tales of Valor,,4400000
20570,"Warhammer® 40,000: Dawn of War® II Chaos Rising",,2400000
20820,Shatter,,1600000
20900,The Witcher: Enhanced Edition Director's Cut,,7100000
20920,The Witcher 2: Assassins of Kings Enhanced Edition,,8500000
21000,LEGO® Batman™: The Videogame,,1800000
21090,F.E.A.R.,,4000000
21100,F.E.A.R. 3,,4900000
21130,LEGO® Harry Potter: Years 1-4,,1700000
21690,Resident Evil™ 5/ Biohazard 5®,,4300000
21980,Call of Juarez®: Bound in Blood,,1100000
22000,World of Goo,,3500000
22100,Mount & Blade,,2900000
22120,Penumbra: Black Plague Gold Edition,,1800000
22180,Penumbra Overture,,2200000
22200,Zeno Clash,,2700000
22230,Rock of Ages,,2200000
22300,Fallout 3,,1900000
22320,The Elder Scrolls III: Morrowind® Game of the Year Edition,,2700000
22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition,,3900000
22350,BRINK,,2900000
22370,Fallout 3: Game of the Year Edition,,4400000
22380,Fallout: New Vegas,,8000000
22600,Worms Reloaded,,2400000
22610,Alien Breed: Impact,,2600000
23490,Tropico 3,,4500000
24200,DC Universe™ Online,,860000
24240,PAYDAY™ The Heist,,8500000
24420,Aquaria,,1600000
24720,SPORE™ Galactic Adventures,,1600000
24740,Burnout Paradise: The Ultimate Box,,5000000
24790,Command & Conquer 3: Tiberium Wars,,1000000
24800,Command & Conquer: Red Alert 3 - Uprising,,3300000
24840,Medal of Honor: Airborne,,1100000
24870,Need for Speed: Shift,,830000
24960,Battlefield: Bad Company™ 2,,4100000
24980,Mass Effect 2,,3800000
25800,Europa Universalis III Complete,,2000000
25830,Knights of Honor,,570000
25890,Hearts of Iron III,,1700000
25900,King's Bounty: The Legend,,2000000
26800,Braid,,3000000
28000,Kane & Lynch 2: Dog Days,,3200000
31270,Puzzle Agent,,3200000
32360,The Secret of Monkey Island: Special Edition,,1400000
32380,STAR WARS™ Jedi Knight: Dark Forces II,,2500000
32430,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,,2800000
32440,LEGO® Star Wars™ - The Complete Saga,,2100000
32500,STAR WARS™: The Force Unleashed™ II,,2400000
33230,Assassin's Creed 2 Deluxe Edition,,2800000
33460,From Dust,,820000
33900,Arma 2,,1600000
33930,Arma 2: Operation Arrowhead,,6800000
34010,Alpha Protocol™,,3600000
34030,Total War: NAPOLEON – Definitive Edition,,2300000
34830,Sniper: Ghost Warrior,,3100000
34870,Sniper: Ghost Warrior 2,,4000000
35000,Mini Ninjas,,3200000
35130,Lara Croft and the Guardian of Light,,3800000
35140,Batman: Arkham Asylum Game of the Year Edition,,6500000
35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,,8700000
35700,Trine Enchanted Edition,,4500000
35720,Trine 2: Complete Story,,6200000
38400,Fallout: A Post Nuclear Role Playing Game,,7700000
38410,Fallout 2: A Post Nuclear Role Playing Game,,3300000
38420,Fallout Tactics: Brotherhood of Steel,,3000000
38700,Toki Tori,,2600000
38720,RUSH,,2200000
38740,EDGE,,2200000
39120,RIFT,,3100000
39190,Dungeon Siege,,1800000
39200,Dungeon Siege II,,1800000
39210,FINAL FANTASY XIV Online,,1600000
39500,Gothic® 3,,1800000
39510,Gothic II: Gold Edition,,1700000
39680,The Guild II Renaissance,,1400000
39690,ArcaniA,,1500000
40100,Supreme Commander 2,,2900000
40300,Risen,,3300000
40380,nail'd,,930000
40390,Risen 2: Dark Waters,,3600000
40400,AI War: Fleet Command,,2700000
40700,Machinarium,,2600000
40950,Stronghold HD,,1700000
40970,Stronghold Crusader HD,,2300000
40990,Mafia,,930000
41000,Serious Sam HD: The First Encounter,,3700000
41070,Serious Sam 3: BFE,,5500000
41300,Altitude,,1700000
41500,Torchlight,,2900000
41700,S.T.A.L.K.E.R.: Call of Pripyat,,3600000
42120,Lead and Gold: Gangs of the Wild West,,3000000
42670,Singularity™,,820000
42700,Call of Duty®: Black Ops,,3400000
42910,Magicka,,7100000
42960,Victoria II,,1600000
44350,GRID 2,,8900000
45700,Devil May Cry 4,,930000
45740,Dead Rising® 2,,3100000
45750,Lost Planet® 2,,790000
45770,Dead Rising 2: Off the Record,,2200000
46500,Syberia,,4100000
46510,Syberia II,,4000000
47410,Stronghold Kingdoms,,1900000
47700,Command & Conquer 4: Tiberian Twilight,,610000
47780,Dead Space™ 2,,4000000
47790,Medal of Honor™,,4100000
47810,Dragon Age: Origins - Ultimate Edition,,2100000
47870,Need For Speed: Hot Pursuit,,2600000
47890,The Sims™ 3,,2100000
48000,LIMBO,,8700000
48110,Silent Hunter 5®: Battle of the Atlantic,,210000
48190,Assassin’s Creed® Brotherhood,,2100000
48240,Anno 2070™,,1200000
48700,Mount & Blade: Warband,,5200000
48720,Mount & Blade: With Fire & Sword,,3300000
49520,Borderlands 2,,15000000
49600,Beat Hazard,,2700000
50130,Mafia II,,5400000
50300,Spec Ops: The Line,,9200000
55040,Atom Zombie Smasher,,1500000
55100,Homefront,,7500000
55110,Red Faction®: Armageddon™,,4400000
55150,"Warhammer 40,000: Space Marine",,6800000
55230,Saints Row: The Third,,9100000
57300,Amnesia: The Dark Descent,,11500000
57690,Tropico 4,,6800000
57740,Jagged Alliance - Back in Action,,950000
57900,Duke Nukem Forever,,2900000
58610,Wargame: European Escalation,,1800000
61700,Might & Magic: Clash of Heroes,,930000
64000,Men of War: Assault Squad,,2300000
65540,Gothic 1,,1600000
65800,Dungeon Defenders,,4100000
65930,The Bureau: XCOM Declassified,,7600000
65980,Sid Meier's Civilization®: Beyond Earth™,,1900000
67370,The Darkness II,,8400000
70000,Dino D-Day,,5800000
70300,VVVVVV,,3800000
70400,Recettear: An Item Shop's Tale,,1500000
70600,Worms Ultimate Mayhem,,2700000
71340,Sonic Generations Collection,,3800000
72850,The Elder Scrolls V: Skyrim,,11400000
78000,Bejeweled® 3,,1900000
80310,Gemini Rue,,1400000
91200,Anomaly: Warzone Earth,,4400000
91600,Sanctum,,3800000
91900,Post Apocalyptic Mayhem,,1700000
92000,Hydrophobia: Prophecy,,2000000
92800,SpaceChem,,4200000
94200,Jamestown,,2200000
94300,The Dream Machine: Chapter 1 & 2,,
94400,Nidhogg,,
95400,ibb & obb,,
96000,The Tiny Bang Story,,
97000,Solar 2,,
97330,Magic: The Gathering - Duels of the Planeswalkers 2013,,
98200,Frozen Synapse,,
98300,Toy Soldiers,,
98400,Hard Reset Extended Edition,,
98800,Dungeons of Dredmor,,
99300,Renegade Ops,,
99900,Spiral Knights,,
102500,Kingdoms of Amalur: Reckoning™,,
102600,Orcs Must Die!,,
102840,Shank 2,,
105000,A New Beginning - Final Cut,,
105450,Age of Empires® III: Complete Collection,,
105600,Terraria,,
107100,Bastion,,
107200,Space Pirates and Zombies,,
107310,Cthulhu Saves the World,,
107410,Arma 3,,
107600,Waves,,
108710,Alan Wake,,
109600,Neverwinter,,
110800,L.A. Noire,,
113020,Monaco: What's Yours Is Mine,,
113200,The Binding of Isaac,,
113420,Fallen Earth Free2Play,,
115110,Stacking,,
115320,Prototype 2,,
115800,Owlboy,,
200010,Quantum Conundrum,,
200170,Worms Revolution,,
200210,Realm of the Mad God,,
200260,Batman: Arkham City - Game of the Year Edition,,
200510,XCOM: Enemy Unknown,,
200710,Torchlight II,,
200900,Cave Story+,,
201230,EverQuest II,,
201510,Flatout 3: Chaos & Destruction,,
201790,Orcs Must Die! 2,,
201810,Wolfenstein: The New Order,,
201870,Assassin's Creed® Revelations,,
202200,Galactic Civilizations® II: Ultimate Edition,,
202750,Alan Wake's American Nightmare,,
202970,Call of Duty®: Black Ops II,,
203140,Hitman: Absolution™,,
203160,Tomb Raider,,
203630,Warlock - Master of the Arcane,,
203750,Binary Domain,,
203770,Crusader Kings II,,
203830,The Dark Eye: Chains of Satinav,,
204030,Fable - The Lost Chapters,,
204060,Superbrothers: Sword & Sworcery EP,,
204100,Max Payne 3,,
204180,Waveform,,
204240,The Bridge,,
204300,Awesomenauts - the 2D moba,,
204340,Serious Sam 2,,
204530,Infested Planet,,
204880,Sins of a Solar Empire: Rebellion®,,
205020,Lumino City,,
205100,Dishonored,,
205230,Hell Yeah! Wrath of the Dead Rabbit,,
205650,The Testament of Sherlock Holmes,,
205910,Tiny and Big: Grandpa's Leftovers,,
206190,Gunpoint,,
206420,Saints Row IV,,
206440,To the Moon,,
207140,SpeedRunners,,
207170,Legend of Grimrock,,
207350,Ys Origin,,
207490,Rayman® Origins,,
207690,Botanicula,,
207750,Symphony,,
208140,Endless Space® - Collection,,
208500,F1 2012™,,
208580,STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,,
208670,Blades of Time,,
208730,Game of Thrones,,
208750,Apotheon,,
209000,Batman™: Arkham Origins,,
209080,Guns of Icarus Online,,
209100,Resident Evil: Operation Raccoon City,,
209120,Street Fighter X Tekken,,
209160,Call of Duty®: Ghosts,,
209370,Analogue: A Hate Story,,
209540,Strike Suit Zero,,
209650,Call of Duty®: Advanced Warfare - Gold Edition,,
209670,Cortex Command,,
209830,Lone Survivor: The Director's Cut,,
210770,Sanctum 2,,
210970,The Witness,,
211260,They Bleed Pixels,,
211400,Deadlight,,
211600,Thief™ Gold,,
211820,Starbound,,
212070,Star Conflict,,
212160,Vindictus,,
212500,The Lord of the Rings Online™,,
212630,Tom Clancy's Ghost Recon: Future Soldier™,,
212680,FTL: Faster Than Light,,
213330,LEGO® Batman™ 2: DC Super Heroes,,
214170,Divine Divinity,,
214250,I Am Alive,,
214340,Deponia,,
214360,Tower Wars,,
214490,Alien: Isolation,,
214770,Guacamelee! Gold Edition,,
214830,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,,
214870,Painkiller Hell & Damnation,,
214950,Total War™: ROME II - Emperor Edition,,
214970,Intrusion 2,,
215080,WAKFU,,
215160,The Book of Unwritten Tales,,
215280,Secret World Legends,,
215470,Primal Carnage,,
215510,Rocketbirds: Hardboiled Chicken,,
215530,The Incredible Adventures of Van Helsing,,
215670,Home,,
216910,Of Orcs And Men,,
217140,Rise of the Triad,,
217690,Anna - Extended Edition,,
217920,Alien Rage - Unlimited,,
218060,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,,
218230,PlanetSide 2,,
218620,PAYDAY 2,,
218640,Lucius,,
218680,Scribblenauts Unlimited,,
218740,Pid,,
218820,Mercenary Kings: Reloaded Edition,,
219150,Hotline Miami,,
219640,Chivalry: Medieval Warfare,,
219680,Proteus,,
219830,King Arthur's Gold,,
219890,Antichamber,,
219910,Edna & Harvey: Harvey's New Eyes,,
219990,Grim Dawn,,
220090,The Journey Down: Chapter One,,
220160,Trials Evolution: Gold Edition,,
220200,Kerbal Space Program,,
220240,Far Cry 3,,
220440,DmC: Devil May Cry,,
220740,Chaos on Deponia,,
220780,Thomas Was Alone,,
220860,McPixel,,
221040,Resident Evil 6 / Biohazard 6,,
221260,Little Inferno,,
221380,Age of Empires II HD,,
221540,DG2: Defense Grid 2,,
221640,Super Hexagon,,
221810,The Cave,,
221910,The Stanley Parable,,
222480,Resident Evil Revelations / Biohazard Revelations,,
222730,Reus,,
222750,Wargame: Airland Battle,,
222880,Insurgency,,
223100,Homefront®: The Revolution,,
223220,Giana Sisters: Twisted Dreams,,
223470,POSTAL 2,,
223830,Xenonauts,,
224460,Contrast,,
224480,Octodad: Dadliest Catch,,
224600,Defiance,,
224760,FEZ,,
224820,Super House of Dead Ninjas,,
225080,Brothers - A Tale of Two Sons,,
225260,Brutal Legend,,
225420,Cities in Motion 2,,
225540,Just Cause™ 3,,
225600,Blade Symphony,,
226580,F1 2014,,
226840,Age of Wonders III,,
226860,Galactic Civilizations III,,
227080,Papo & Yo,,
227100,Sniper Elite: Nazi Zombie Army,,
227200,Waking Mars,,
227220,Sang-Froid - Tales of Werewolves,,
227300,Euro Truck Simulator 2,,
227580,"10,000,000",,
228200,Company of Heroes,,
228260,Fallen Enchantress: Legendary Heroes,,
