"","steam_ds.appid"
"2138",620980
"2139",621060
"2140",622650
"2141",623940
"2142",624090
"2143",626690
"2144",627270
"2145",627690
"2146",629730
"2147",629910
"2148",630100
"2149",631510
"2150",632350
"2151",632360
"2152",633230
"2153",633460
"2154",635260
"2155",635320
"2156",635730
"2157",636040
"2158",636480
"2159",637090
"2160",637650
"2161",637670
"2162",637850
"2163",638070
"2164",638970
"2165",639170
"2166",639780
"2167",639790
"2168",640820
"2169",641990
"2170",643270
"2171",644560
"2172",644570
"2173",644930
"2174",645090
"2175",645630
"2176",646570
"2177",646910
"2178",647830
"2179",648350
"2180",648390
"2181",648430
"2182",648800
"2183",650000
"2184",650700
"2185",652980
"2186",653530
"2187",654880
"2188",656200
"2189",657200
"2190",658850
"2191",660880
"2192",663390
"2193",665180
"2194",665360
"2195",665490
"2196",666140
"2197",666220
"2198",667720
"2199",667870
"2200",667890
"2201",668630
"2202",671440
"2203",671510
"2204",672680
"2205",673950
"2206",674020
"2207",674400
"2208",674940
"2209",675010
"2210",675260
"2211",676820
"2212",677120
"2213",677160
"2214",678800
"2215",678950
"2216",680320
"2217",680360
"2218",681660
"2219",684410
"2220",686600
"2221",688470
"2222",690510
"2223",690530
"2224",690790
"2225",690830
"2226",691020
"2227",696370
"2228",698780
"2229",700030
"2230",700330
"2231",702810
"2232",702890
"2233",703700
"2234",704270
"2235",704450
"2236",704850
"2237",705120
"2238",705220
"2239",707010
"2240",711660
"2241",711810
"2242",711990
"2243",712050
"2244",712100
"2245",712840
"2246",714010
"2247",716710
"2248",718670
"2249",720280
"2250",723780
"2251",725480
"2252",728540
"2253",728880
"2254",729040
"2255",730310
"2256",731490
"2257",732430
"2258",733990
"2259",734580
"2260",734750
"2261",736190
"2262",736220
"2263",736260
"2264",737800
"2265",738060
"2266",738520
"2267",742120
"2268",743090
"2269",743450
"2270",744190
"2271",744810
"2272",745880
"2273",750920
"2274",751780
"2275",753420
"2276",755790
"2277",758190
"2278",760060
"2279",761620
"2280",761890
"2281",763410
"2282",766370
"2283",766570
"2284",767560
"2285",773951
"2286",776490
"2287",778700
"2288",785740
"2289",786520
"2290",787860
"2291",788770
"2292",788880
"2293",794260
"2294",794600
"2295",795100
"2296",802200
"2297",805850
"2298",809960
"2299",812140
"2300",813820
"2301",814380
"2302",814540
"2303",815370
"2304",816020
"2305",816090
"2306",816340
"2307",823130
"2308",831560
"2309",834530
"2310",834910
"2311",835860
"2312",838310
"2313",838350
"2314",838380
"2315",840140
"2316",841370
"2317",843380
"2318",844930
"2319",845070
"2320",847370
"2321",848450
"2322",851100
"2323",858810
"2324",862690
"2325",863550
"2326",868360
"2327",869760
"2328",871720
"2329",872790
"2330",874240
"2331",878380
"2332",878750
"2333",879160
"2334",880940
"2335",882790
"2336",883710
"2337",884660
"2338",893030
"2339",893180
"2340",893520
"2341",897330
"2342",899440
"2343",899970
"2344",909080
"2345",911400
"2346",914620
"2347",921060
"2348",921590
"2349",921630
"2350",927890
"2351",939400
"2352",939960
"2353",942970
"2354",950100
"2355",952040
"2356",955900
"2357",963690
"2358",967050
"2359",967250
"2360",973760
"2361",977950
"2362",991780
"2363",992300
"2364",994280
"2365",995460
"2366",1008710
