publisher,d_publisher
Kunos Simulazioni,0
Iron Galaxy,0
Lucky Pause,0
Marvelous;Autumn Games,1
Positech Games,0
Ragequit Corporation,0
Aterdux Entertainment,0
Asmodee Digital,0
Brace Yourself Games;Klei Entertainment,0
Rising Star Games,0
"Nether Productions, LLC",0
GalaxyTrail,0
KillHouse Games,0
Blue Bottle Games,0
Rain Games,0
Witch Beam,0
Necrophone Games,0
Ice-Pick Lodge,0
Stygian Software,0
3 Sprockets,0
Krillbite Studio,0
Yacht Club Games,0
Behold Studios,0
"XSEED Games;Marvelous USA, Inc.",1
Matt Makes Games Inc.,0
Cornered Rat Software,0
Hanako Games,0
Endlessfluff Games,0
Asteroid Base,0
Blue Isle Studios,0
Image & Form Games,0
Facepunch Studios,0
Minor Key Games,0
BeautiFun Games,0
"Psyonix, Inc.",0
Flippfly LLC,0
Screen 7,0
Gears for Breakfast,0
Infinitap Games,0
Treasure,0
WayForward,0
Codemasters;Feral Interactive (Mac);Feral Interactive (Linux),1
Wizards of the Coast,1
Northway Games,0
Devolver Digital;Croteam,0
Heart Machine,0
The Astronauts,0
Team Reptile,0
Slitherine Ltd.,0
Xaviant Games,0
Red Hook Studios,0
10tons Ltd,0
Oovee® Game Studios,0
Nkidu Games Inc.,0
Limasse Five,0
Defiant Development,0
5 Lives Studios,0
Studio MDHR Entertainment Inc.,0
Simogo,0
Digital Happiness,0
Osumia Games,0
Fellow Traveller,0
Stellar Jockeys,0
Acid Wizard Studio,0
Digital Confectioners,0
Hello Games,0
"KOEI TECMO GAMES CO., LTD.",1
Lince Works,0
Gearbox Publishing,1
Atari;RCTO Productions,1
"Idea Factory International, Inc.;IDEA FACTORY Co., Ltd.",0
Funbox Media Ltd,0
Ska Studios,0
Phoenix Online Publishing,1
Atari,0
Degica,0
"BadFly Interactive, a.s.",0
Codemasters;Feral Interactive (Linux),1
Dinosaur Polo Club,0
Fireproof Games,0
Bitbox Ltd.,0
League of Geeks,0
Over The Moon,0
Grey Box,0
BANDAI NAMCO Entertainment America,1
My.com,0
CD PROJEKT RED,1
Blue Manchu,0
Ludeon Studios,0
Talking About Media,0
Ubisoft Entertainment,1
Creability,0
Night Node,0
Toadman Interactive;Jagex,1
Uppercut Games Pty Ltd,0
Fellow Traveller;Samurai Punk,0
Crytek,1
Targem Games,0
"CAPCOM Co., Ltd.",1
Failbetter Games,0
Game-Labs,0
Awesome Games Studio,0
1C Game Studios,1
Milkstone Studios,0
Codemasters;Feral Interactive (Linux);Feral Interactive (Mac),1
"Spike Chunsoft Co., Ltd.",0
Giants Software,0
Teotl Studios,0
Rake in Grass,0
"Oddworld Inhabitants, Inc.",0
Indietopia Games,0
The Molasses Flood;Curve Digital,0
Scott Cawthon,0
Kitfox Games,0
PlayWay S.A.,1
SUPERHOT Team,0
Hammerfall Publishing,0
Choice Provisions,0
Question,0
Thunder Lotus Games,0
Those Awesome Guys,0
Sekai Project,0
Portalarium,0
Tasharen Entertainment Inc.,0
"MidBoss, LLC.;AGM PLAYISM",0
Armor Games Studios,0
Thomas Happ Games LLC,0
Warchest Ltd.,0
OhNoo Studio,0
"Dingaling Productions, LLC",0
Square Enix;Feral Interactive (Linux);Feral Interactive (Mac),1
Cornfox & Bros.,0
Steel Crate Games,0
Destructive Creations,0
Vertigo Games,0
Black Shell Media,0
IMGN.PRO,0
EuroVideo Medien,0
Studio Wildcard,0
Idea Factory International,0
Bigben Interactive,1
Awfully Nice Studios,0
Microids Indie;Microids,0
Flazm,0
Drool,0
Maschinen-Mensch,0
Frontier Developments,1
Gamious,0
Killmonday Games AB,0
Crowbar Collective,0
Daedalic Entertainment;Daylight Studios,0
SEGA;Feral Interactive (Linux);Feral Interactive (Mac),1
Parabole;Ravenscourt,0
Dry Cactus,0
Team Cherry,0
Raw Fury,0
Sam Barlow,0
Digerati Distribution,0
The Merchant Guild of Rund (Limited),0
"Massive Damage, Inc.",0
"FromSoftware, Inc.;BANDAI NAMCO Entertainment",1
Ice Water Games,0
Arc System Works,0
MuHa Games,0
Warhorse Studios;Deep Silver,1
inkle Ltd,0
Panic;Campo Santo,0
Sketchy Logic,0
ZackBellGames,0
Vertigo Gaming Inc.,0
Night School Studio,0
tobyfox,0
Aspyr,0
Butterscotch Shenanigans,0
"PlayStation Mobile, Inc.",1
App Holdings,0
